S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
477,"2,360.33","2,415.55","2,360.33","2,415.55",56.73,2.41,"2,383,259,847.00",2021-12-21
478,"2,390.81","2,390.81","2,346.96","2,358.81",-17.93,-0.75,"2,464,689,863.00",2021-12-20
479,"2,415.77","2,417.21","2,372.87","2,376.74",-37.87,-1.57,"2,301,751,968.00",2021-12-16
480,"2,433.20","2,490.62","2,379.30","2,414.62",-4.23,-0.17,"4,588,390,678.00",2021-12-15
481,"2,283.67","2,418.85","2,283.67","2,418.85",137.18,6.01,"1,842,647,144.00",2021-12-14
482,"2,351.93","2,351.93","2,259.63","2,281.67",-79.57,-3.37,"3,995,604,178.00",2021-12-13
483,"2,448.66","2,455.56","2,360.67","2,361.27",-88.70,-3.62,"3,382,509,520.00",2021-12-12
484,"2,454.41","2,464.70","2,428.84","2,449.97",-5.84,-0.24,"2,673,308,792.00",2021-12-09
485,"2,508.28","2,511.60","2,448.91","2,455.80",-53.10,-2.12,"2,663,909,620.00",2021-12-08
486,"2,549.36","2,590.39","2,506.61","2,508.90",-37.18,-1.46,"3,128,341,700.27",2021-12-07
487,"2,508.96","2,548.98","2,440.24","2,546.08",32.22,1.28,"4,542,345,271.00",2021-12-06
488,"2,586.82","2,586.95","2,505.13","2,513.87",-72.32,-2.80,"4,090,765,325.00",2021-12-05
489,"2,633.63","2,641.96","2,580.68","2,586.19",-47.47,-1.80,"3,413,589,126.00",2021-12-02
490,"2,628.68","2,649.80","2,628.68","2,633.65",5.28,0.20,"2,742,085,704.00",2021-12-01
491,"2,630.32","2,647.85","2,604.43","2,628.37",-1.60,-0.06,"3,089,041,991.00",2021-11-30
